repo_name;release_count;age;star_count;latest_commit_date
3drepo/3drepo.io;44;3649;95;2024-08-23 09:56:53+00:00
99xt/serverless-react-boilerplate;10;2970;260;2019-07-31 04:52:39+00:00
accordproject/concerto;101;2157;108;2024-08-27 14:15:34+00:00
acdlite/recompose;42;3248;14766;2018-12-03 21:39:57+00:00
adobe/brackets;69;4647;33265;2021-03-18 13:52:19+00:00
aeneasr/ory-editor;387;3379;9439;2023-04-26 07:57:00+00:00
Agoric/agoric-sdk;31;1762;322;2024-08-28 18:08:52+00:00
aichbauer/express-routes-mapper;6;2731;21;2020-02-14 22:48:05+00:00
ajoslin/conventional-changelog;147;3888;7733;2024-05-06 14:46:45+00:00
akvo/akvo-lumen;31;3236;63;2023-03-31 10:07:03+00:00
aldeed/simpl-schema;26;2980;560;2024-06-25 14:55:03+00:00
alexa/alexa-skills-kit-sdk-for-nodejs;52;2987;3119;2023-04-18 11:48:58+00:00
AlexGalays/kaiju;29;3097;89;2018-08-03 17:46:53+00:00
algolia/react-instantsearch;47;2703;1970;2022-12-30 12:33:02+00:00
alleyinteractive/irving;242;2273;42;2022-04-05 16:10:08+00:00
AlloyTeam/Nuclear;163;3377;13026;2024-08-23 07:04:15+00:00
amannn/action-semantic-pull-request;47;1755;938;2024-06-28 09:11:02+00:00
amark/gun;17;3681;18018;2024-07-23 12:56:40+00:00
amazeeio/lagoon;113;2555;554;2024-08-26 00:08:02+00:00
amazingandyyy/mern;6;2802;505;2023-06-08 15:25:49+00:00
AnalyzeOrFeed/aof-replay-client;11;3271;20;2016-04-27 18:22:03+00:00
angular/angular-cli;735;3373;26723;2024-08-28 20:50:27+00:00
angular-redux/ng2-redux;5;3302;1337;2018-07-13 20:24:18+00:00
antonybudianto/cra-universal;19;2570;431;2022-05-30 13:00:42+00:00
aol/moloch;64;4436;6246;2024-08-23 11:22:55+00:00
AOT-Technologies/forms-flow-ai;25;1603;332;2024-08-28 12:56:56+00:00
apache/incubator-weex-cli;10;2981;564;2021-05-27 13:01:39+00:00
apiaryio/api-elements.js;74;2416;74;2023-07-28 17:54:38+00:00
apollographql/apollo-codegen;40;2938;3041;2023-03-29 12:35:23+00:00
apollostack/apollo-server;140;3051;13747;2024-08-15 16:25:17+00:00
apollostack/graphql-tools;1405;3081;5334;2024-08-28 01:08:27+00:00
appearhere/bloom;132;2945;51;2024-08-14 00:41:39+00:00
aragon/aragon.js;21;2592;82;2022-08-30 10:32:11+00:00
aragon/aragon-apps;156;2507;386;2022-10-12 08:01:24+00:00
ark120202/angel-arena-black-star;84;2662;27;2020-03-02 11:26:55+00:00
ArkEcosystem/core;100;2471;337;2024-06-19 11:10:14+00:00
ArthurClemens/Polythene;17;3440;591;2021-10-21 14:25:31+00:00
atlassian/extract-react-types;26;2556;178;2022-10-20 00:40:43+00:00
AugurProject/augur;20;2220;450;2021-11-05 17:40:24+00:00
aurelia/skeleton-navigation;65;3547;734;2018-04-18 18:21:19+00:00
Automattic/wp-calypso;42;3214;12401;2024-08-28 19:25:10+00:00
Availity/availity-react;8;2453;51;2024-08-27 15:43:27+00:00
Availity/availity-workflow;94;3277;28;2024-08-28 12:23:17+00:00
aws/aws-xray-sdk-node;21;2728;266;2024-08-22 22:05:09+00:00
aws-amplify/amplify-js;149;2521;9411;2024-08-27 20:02:01+00:00
awslabs/aws-mobile-appsync-sdk-js;11;2500;919;2024-01-23 19:46:14+00:00
aws-samples/aws-api-gateway-developer-portal;22;2837;928;2023-10-31 12:45:56+00:00
babel/babel;408;3622;43135;2024-08-28 15:46:47+00:00
babel/babel-minify;18;3065;4390;2022-05-06 18:33:25+00:00
baidu/san;97;2921;4713;2024-04-10 17:13:12+00:00
bakdata/conquery;249;2604;36;2024-08-27 11:55:52+00:00
betagouv/syso;50;2996;253;2024-08-26 15:30:14+00:00
bids-standard/bids-validator;144;3367;179;2024-08-28 15:38:04+00:00
binaryage/dirac;120;3179;769;2020-11-26 17:30:30+00:00
bkimminich/juice-shop;208;3631;10026;2024-08-07 14:24:45+00:00
blockchain/blockchain-wallet-v4-frontend;1177;2634;762;2024-08-26 14:53:52+00:00
bluebill1049/react-simple-animate;68;2587;1819;2024-05-22 00:11:52+00:00
borysn/spring-boot-angular2;6;3135;387;2017-03-14 22:46:19+00:00
Bounteous-Inc/aem-webpack-example;14;2644;80;2019-03-01 18:12:31+00:00
bpmn-io/diagram-js;21;3870;1666;2024-08-28 13:38:10+00:00
BuilderIO/builder;514;2036;7222;2024-08-28 20:26:47+00:00
BulletTrainHQ/bullet-train-js-client;69;2277;59;2024-07-16 14:48:45+00:00
buzz/newsdash;13;1823;57;2024-07-22 18:28:54+00:00
c8r/markdown;118;2439;17325;2024-08-22 13:48:10+00:00
calesce/redux-slider-monitor;6;3314;207;2018-12-22 23:59:16+00:00
callemall/material-ui;489;3663;93074;2024-08-28 20:34:35+00:00
callmecavs/outset;19;3636;170;2022-06-08 16:59:54+00:00
callstack-io/linaria;559;2654;11467;2024-04-26 11:42:34+00:00
camunda/camunda-modeler;118;3267;1483;2024-08-28 13:48:44+00:00
CancerCollaboratory/billing;5;2912;16;2021-02-05 17:11:07+00:00
canonical-web-and-design/maas-ui;25;1906;48;2024-08-21 14:45:04+00:00
carbon-design-system/carbon-addons-iot-react;1532;2086;95;2024-08-16 11:04:12+00:00
cdimascio/generator-express-no-stress;60;2770;593;2022-05-30 18:19:03+00:00
cds-snc/report-a-cybercrime;8;2135;29;2020-10-30 17:15:56+00:00
cedardevs/onestop;50;2973;43;2023-07-07 19:26:05+00:00
ceolter/ag-grid;222;3536;12438;2024-08-28 19:03:42+00:00
cgrossde/Pullover;17;3558;382;2019-11-03 15:31:11+00:00
ChainSafeSystems/lodestar_chain;160;2259;1132;2024-08-26 16:04:16+00:00
ChainShot/Builder;55;2120;41;2022-12-07 21:44:17+00:00
chakra-ui/chakra-ui;3337;1838;37365;2024-08-28 19:57:17+00:00
chanzuckerberg/cellxgene;46;2521;612;2024-04-18 14:54:49+00:00
cheton/cnc;190;3295;2264;2023-10-07 12:23:51+00:00
Chocobozzz/PeerTube;125;3225;12872;2024-08-21 11:58:58+00:00
chriskalmar/shyft;15;2206;52;2022-06-07 07:25:00+00:00
CMSgov/design-system;205;2759;310;2024-08-28 19:49:04+00:00
code-dot-org/code-dot-org;2126;3630;830;2024-08-28 20:49:10+00:00
codejamninja/reaction;7;2410;25;2023-07-13 07:13:01+00:00
CodingZeal/generator-react-zeal;7;2828;14;2020-10-08 14:18:04+00:00
compulim/web-speech-cognitive-services;16;2253;61;2024-06-02 01:41:42+00:00
ConsenSys/cakeshop;6;2815;505;2022-05-26 23:22:36+00:00
ConsenSys/truffle;280;3348;14020;2023-09-21 19:42:58+00:00
contentful/forma-36;6973;2140;331;2024-08-13 14:42:14+00:00
conventional-changelog/commitlint;160;3120;16566;2024-08-28 07:38:44+00:00
conversejs/converse.js;100;4421;3058;2024-08-25 19:13:25+00:00
coveo/react-vapor;816;2905;59;2024-08-28 15:51:40+00:00
Cox-Automotive/ALKS-CLI;88;2973;40;2024-05-31 14:42:26+00:00
Cretezy/noderize;24;2393;422;2018-08-17 01:47:29+00:00
Cristian006/frameless-titlebar;5;2294;216;2020-10-04 23:38:44+00:00
cryptape/nervos.js;20;2223;22;2020-10-20 02:17:44+00:00
cubic-js/cubic;124;2682;16;2022-08-31 16:22:59+00:00
cyclejs/core;60;3582;10247;2023-11-29 13:13:38+00:00
danactive/history;63;4499;38;2024-07-20 22:03:13+00:00
danielcondemarin/serverless-next.js;577;2016;4426;2022-04-20 06:03:29+00:00
DanielSchaffer/webpack-babel-multi-target-plugin;36;2449;153;2020-07-25 20:31:30+00:00
David-Desmaisons/Neutronium;19;3334;1344;2020-09-08 04:16:02+00:00
derzunov/redux-react-i18n;11;2857;64;2023-04-04 07:29:28+00:00
developit/htm;16;2221;8666;2022-06-03 00:03:32+00:00
developit/preact;209;3274;36490;2024-08-28 15:24:21+00:00
developit/preact-cli;51;2658;4676;2024-03-27 18:11:08+00:00
DevExpress/DevExtreme;244;2690;1799;2024-08-28 18:21:00+00:00
DevExpress/devextreme-cli;13;2204;49;2024-07-29 09:57:32+00:00
DevExpress/devextreme-reactive;105;2721;2073;2024-08-27 16:43:57+00:00
dfahlander/Dexie.js;129;3836;11316;2024-07-17 11:16:03+00:00
dialogflow/dialogflow-nodejs-client-v2;90;2500;797;2023-07-20 20:37:01+00:00
dipterix/threeBrain;12;2003;40;2024-08-22 18:19:17+00:00
D-Pow/MockRequests;13;1825;37;2023-03-04 23:51:36+00:00
draft-js-plugins/draft-js-plugins;210;3106;4088;2024-08-19 07:08:11+00:00
driftyco/ionic;878;4025;50841;2024-08-26 16:17:36+00:00
driftyco/ionic-cli;53;3934;1993;2024-05-23 20:19:03+00:00
dsebastien/modernWebDevGenerator;20;3266;72;2016-07-05 18:48:30+00:00
dvajs/dva;35;2987;16240;2024-05-10 02:09:34+00:00
eddyerburgh/jest-vue;79;2552;744;2024-01-29 21:59:49+00:00
egoist/poi;98;3051;5226;2021-12-06 12:22:48+00:00
elastic/kibana;154;4232;19577;2024-08-28 21:05:11+00:00
elastic-coders/serverless-webpack;58;2933;1720;2024-08-28 04:19:05+00:00
electric-eloquence/fepper;55;3277;12;2024-06-06 12:12:13+00:00
electron-userland/electron-forge;44;2884;6394;2024-08-02 06:13:25+00:00
elyra-ai/canvas;110;1771;38;2024-08-27 20:38:40+00:00
embark-framework/embark;76;3384;3789;2020-10-08 00:29:51+00:00
embarklabs/subspace;7;1952;73;2021-01-14 23:17:01+00:00
ember-cli/ember-cli;308;3951;3263;2024-08-20 04:47:15+00:00
emotion-js/emotion;554;2650;17383;2024-08-25 21:27:12+00:00
enactjs/enact;146;2911;310;2024-07-17 05:37:35+00:00
equinor/design-system;167;2029;119;2024-08-28 13:26:23+00:00
Esri/arcgis-js-cli;36;2303;139;2024-02-02 21:45:25+00:00
ETCDEVTeam/emerald-wallet;43;2744;211;2024-06-09 20:33:34+00:00
EthWorks/UniversalLoginSDK;5;2236;294;2020-10-05 10:05:54+00:00
ExactTarget/fuelux;54;4436;5202;2022-02-12 15:28:50+00:00
facebook/create-react-app;83;2964;102458;2024-08-27 17:09:10+00:00
facebook/Docusaurus;144;2626;55100;2024-08-27 11:52:45+00:00
facebook/draft-js;26;3113;22564;2022-12-14 15:16:46+00:00
facebook/jest;202;3914;44010;2024-08-23 07:21:47+00:00
facebook/nuclide;114;3467;7786;2018-12-12 17:47:39+00:00
facebook/react;101;4114;226769;2024-08-27 17:11:50+00:00
facebook/regenerator;37;3980;3819;2023-12-15 20:55:28+00:00
facebook/relay;83;3305;18343;2024-08-27 23:03:12+00:00
facebook/Sonar;321;2330;13307;2024-08-21 14:18:26+00:00
facebook-atom/atom-ide-ui;29;2710;936;2018-11-15 21:35:31+00:00
farism/stylegator;36;2456;11;2022-01-05 01:26:28+00:00
featherity/featherity;510;1542;10120;2024-08-25 16:21:49+00:00
feathersjs/feathers;98;4696;15019;2024-07-10 20:40:14+00:00
FelixHenninger/lab.js;28;3186;244;2024-05-27 14:49:42+00:00
FelixRilling/yugioh-deck-tool;23;2814;48;2024-07-07 16:28:17+00:00
fgpv-vpgf/fgpv-vpgf;85;3381;45;2024-06-27 14:39:02+00:00
Financial-Times/x-dash;290;2373;38;2024-08-28 13:29:12+00:00
firebase/firebase-js-sdk;19;2682;4804;2024-08-23 20:05:18+00:00
FirebaseExtended/reactfire;42;3775;3515;2023-08-03 20:25:27+00:00
fkling/astexplorer;17;3712;6095;2024-02-04 10:27:32+00:00
flarum/core;45;3539;6262;2024-08-08 14:45:00+00:00
flarum/flarum-ext-tags;31;3401;35;2024-08-10 17:29:26+00:00
flow-typed/flow-typed;18;3267;3765;2024-06-17 16:22:31+00:00
formatjs/react-intl;2770;3779;14244;2024-08-22 15:12:52+00:00
FormidableLabs/react-swipeable;24;3608;1984;2024-04-01 17:43:49+00:00
FortAwesome/react-fontawesome;23;2548;3666;2024-05-22 21:34:46+00:00
frctl/fractal;169;3340;2109;2023-01-26 08:53:11+00:00
FredericHeem/starhackit;17;3242;1278;2023-11-03 21:17:32+00:00
frintjs/frint;82;2975;753;2018-09-11 14:04:11+00:00
frouriojs/create-frourio-app;106;1551;45;2023-04-06 03:03:22+00:00
fusionjs/fusionjs;127;2493;1537;2023-03-01 22:17:37+00:00
gaearon/react-dnd;138;3601;20854;2023-01-20 00:29:27+00:00
gaearon/react-hot-loader;158;3699;12256;2022-11-13 04:20:12+00:00
gaearon/redux-devtools;107;3342;13978;2024-08-26 03:16:10+00:00
gatsbyjs/gatsby;134;3386;55196;2024-08-26 16:47:02+00:00
gergelyszabo94/csgo-trader-extension;72;2066;211;2024-08-17 22:44:47+00:00
GertjanReynaert/react-intl-translations-manager;18;3154;297;2018-03-29 18:54:20+00:00
getsentry/raven-js;526;4592;7839;2024-08-28 15:28:58+00:00
GladysAssistant/Gladys;137;3372;2559;2024-08-26 13:47:35+00:00
GMartigny/pencil.js;43;2384;271;2024-07-17 10:39:58+00:00
googleapis/nodejs-bigquery;87;2590;465;2024-08-14 16:04:07+00:00
googleapis/nodejs-bigtable;81;2590;97;2024-07-22 15:11:31+00:00
googleapis/nodejs-datastore;90;2589;215;2024-08-28 17:05:04+00:00
googleapis/nodejs-dlp;60;2589;59;2023-07-13 02:00:34+00:00
googleapis/nodejs-error-reporting;29;2589;88;2024-06-19 14:29:15+00:00
GoogleChrome/workbox;84;3068;12255;2024-07-10 17:45:11+00:00
GoogleWebComponents/model-viewer;56;2141;6802;2024-08-14 17:17:41+00:00
gpbl/react-day-picker;54;3531;5980;2024-08-22 11:15:08+00:00
grand-stack/grand-stack-starter;25;2501;504;2021-05-13 17:20:57+00:00
graphql/graphiql;926;3305;15918;2024-08-26 14:28:46+00:00
grindjs/framework;18;3070;35;2021-05-22 21:12:07+00:00
grpc/grpc-node;268;2583;4425;2024-07-15 17:56:27+00:00
gruelbox/orko;13;2144;179;2022-04-16 11:41:23+00:00
gsoft-inc/craco;24;2144;7417;2023-12-29 01:00:10+00:00
guardicore/monkey;19;3286;6610;2024-08-28 12:07:21+00:00
guigrpa/docx-templates;31;2816;875;2024-06-02 12:37:49+00:00
gxchain/gxb-light;7;2591;47;2020-10-26 14:51:25+00:00
hainproject/hain;23;3091;3199;2018-11-09 15:17:43+00:00
haiwen/seahub;335;4313;524;2024-08-28 09:52:54+00:00
hammerframework/hammer;291;1907;17013;2024-08-28 15:23:38+00:00
hashicorp/vault;146;3472;30788;2024-08-28 15:29:06+00:00
hasura/graphql-engine;271;2263;31012;2024-08-28 16:09:43+00:00
heetch/flamingo;72;2144;36;2023-10-27 13:48:05+00:00
helium/console;62;2364;104;2024-03-01 20:01:28+00:00
hensm/fx_cast;12;2273;1867;2023-09-01 21:02:15+00:00
hpcc-systems/Visualization;208;3690;90;2024-08-28 15:38:02+00:00
hshoff/vx;105;2723;19278;2024-07-29 19:50:24+00:00
hslayers/hslayers-ng;125;3151;34;2024-08-28 14:58:38+00:00
hypery2k/galenframework-cli;34;3414;17;2022-05-20 04:20:29+00:00
hyva-themes/magento2-hyva-checkout;18;1415;178;2024-05-17 12:51:04+00:00
ianstormtaylor/slate;174;2993;29529;2024-08-28 19:18:38+00:00
ibissource/frank-flow;132;1745;30;2024-07-11 19:42:37+00:00
IBM/carbon-components;953;2725;7706;2024-08-28 20:14:23+00:00
ice-lab/ice-scripts;13;1892;45;2021-01-13 08:01:35+00:00
iCHEF/gypcrete;59;2742;30;2024-05-31 06:07:15+00:00
identity-box/identity-box;18;1820;19;2024-08-11 07:04:21+00:00
illright/attractions;24;1593;1030;2024-03-01 18:49:39+00:00
infernojs/inferno;187;3495;16046;2024-07-15 09:30:46+00:00
infinitered/gluegun;93;2829;2941;2024-08-12 21:34:00+00:00
influxdata/chronograf;103;2925;1499;2024-07-19 10:29:17+00:00
insideout10/wordlift-plugin;10;4447;101;2024-08-20 12:20:52+00:00
instructure/instructure-ui;105;3184;435;2024-08-27 14:53:34+00:00
iotaledger/trinity-wallet;64;2289;470;2021-09-06 12:54:41+00:00
ipfs-inactive/js-ipfs-http-client;138;3636;1050;2020-03-06 17:51:23+00:00
ipython/ipywidgets;20;3421;3126;2024-08-22 12:30:46+00:00
IsraelHikingMap/Site;74;3336;79;2024-08-26 20:11:32+00:00
istanbuljs/istanbuljs;40;2757;992;2024-07-05 12:10:18+00:00
iverberk/nomad-ui;66;2957;1230;2021-06-30 06:21:42+00:00
jadu/pulsar;144;3156;24;2024-08-27 13:57:27+00:00
jamesplease/redux-resource;47;2635;237;2020-05-28 07:27:01+00:00
jaredpalmer/razzle;253;3122;11098;2022-10-25 21:09:38+00:00
Jaxelr/VueSimpleTemplate;17;2555;34;2024-01-26 12:52:11+00:00
jbolda/covector;101;1562;69;2024-07-24 17:56:24+00:00
jcmcneal/react-step-wizard;13;2815;580;2024-07-19 17:17:42+00:00
jeanpan/react-native-camera-roll-picker;5;3043;422;2023-03-08 00:48:12+00:00
jhipster/generator-jhipster;38;3964;21423;2024-08-28 20:42:34+00:00
jkcfg/jk;16;2143;404;2021-01-10 10:53:37+00:00
jlongster/prettier;117;2829;48984;2024-08-26 00:26:16+00:00
joe-sky/nornj;29;3145;101;2022-08-31 07:49:34+00:00
JoinColony/colonyNetwork;24;2679;438;2024-08-02 17:23:39+00:00
jquense/react-widgets;27;3684;2339;2023-08-02 15:14:20+00:00
js-accounts/accounts;99;2882;1494;2024-03-08 10:43:11+00:00
js-joda/js-joda;32;3239;1612;2024-08-25 11:29:40+00:00
jungsoft/apollo-sentry-helper;5;1497;17;2021-02-05 22:29:36+00:00
jwkvam/bowtie;26;3054;765;2019-08-04 20:08:50+00:00
jxnblk/styled-system;6;2631;7840;2021-07-05 14:21:29+00:00
jxom/bumbag;93;1501;1006;2022-11-19 07:44:59+00:00
