repo_name;release_count;age
earwig/mwparserfromhell;23;4484
edx/course-discovery;10;3215
pollen-robotics/reachy;11;1864
CellProfiler/CellProfiler;34;4895
DigitalCampus/django-oppia;42;4090
OpenTransitTools/gtfsdb;5;3452
Rorosha/testcloud;12;3688
Ulauncher/Ulauncher;147;3399
canonical/cloud-init;35;3613
codalab/codalab-cli;121;3559
exaile/exaile;29;3652
google/clusterfuzz;35;2039
kobotoolbox/kobocat;59;3937
kyper-data/python-highcharts;8;3287
mdtraj/mdtraj;27;4311
mozilla-services/shavar-list-creation;5;3627
mozilla/telemetry-airflow;45;3033
sagemath/sage;115;4465
salopensource/sal-scripts;43;3313
tdsmith/homebrew-pypi-poet;10;3497
widdowquinn/pyani;16;3530
z411/trackma;21;4401
Adapter-Hub/adapter-transformers;21;1591
PaulMcInnis/JobFunnel;10;2561
PyTorchLightning/pytorch-lightning;160;1978
cltk/cltk;78;3882
wellcometrust/WellcomeML;21;1687
yannforget/pylandsat;5;2179
googlefonts/fontbakery;55;4212
1313e/PRISM;13;2396
NSLS-II/PyXRF;24;3437
PierreRaybaut/PythonQwt;24;3295
PierreRaybaut/guidata;26;3294
cbrnr/mnelab;28;2623
equinor/ert;475;2684
kcjengr/QtPyVCP;44;2155
pyvista/pyvistaqt;6;1568
srevinsaju/guiscrcpy;38;1904
tohojo/flent;24;4342
wkentaro/labelme;68;3034
Syncleus/apex;5;3087
deshaw/pyflyby;24;2154
scrapy/parsel;15;3415
yashaka/selene;39;3422
akretion/roulier;19;3055
certtools/intelmq;44;3719
mlsecproject/combine;5;3842
opentargets/rest_api;6;3146
shoopio/shoop;137;3375
6uhrmittag/taskbutler;9;2337
AlienVault-Labs/OTX-Python-SDK;16;3419
AtomicConductor/conductor_client;92;3423
Chadsr/NordVPN-NetworkManager;26;2660
Clinical-Genomics/scout;151;3611
CorruptComputer/ProtonDB-Tags;6;1910
Crystalnix/termius-cli;13;4084
DMOJ/online-judge;5;3822
DuckBoss/JJMumbleBot;63;2026
HDI-Project/ATM;6;2876
HXLStandard/libhxl-python;83;3669
JohnMaguire/Cardinal;32;4221
Koed00/django-whoshere;6;3398
Nettacker/Nettacker;12;2687
OCHA-DAP/hdx-ckan;691;3852
PSLmodels/Tax-Calculator;97;3684
RIPE-NCC/ripe-atlas-cousteau;28;3759
RomelTorres/alpha_vantage;6;2679
SamSchott/maestral;57;2103
SickChill/SickChill;18;3211
SickGear/SickGear;65;3578
SpiderOak/netkes;109;4090
StevenBlack/hosts;668;4521
Syncplay/syncplay;69;4452
WeblateOrg/weblate;97;4567
WorldWideTelescope/pywwt;53;2481
airbnb/streamalert;28;2776
akamhy/waybackpy;35;1580
astropy/pyvo;30;4086
avwx-rest/AVWX-Engine;25;3405
callahantiff/PheKnowLator;10;2168
cekit/cekit;72;2555
ckan/ckanext-harvest;26;4655
datawire/ambassador;205;2709
ericmandel/pyjs9;15;3525
explosion/spaCy;125;3710
galaxyproject/galaxy;19;3475
glennmatthews/cot;42;3717
grow/grow;164;3999
gwpy/gwosc;15;2668
ilastik/ilastik;10;4496
janrain/janrain-python-api;9;4223
jpmens/mqttwarn;20;3854
jupyter/repo2docker;14;2669
kovacsbalu/WazeRouteCalculator;17;3225
lektor/lektor;44;3176
microsoft/nlp-recipes;5;1973
oemof/feedinlib;6;3689
project-koku/koku;268;2351
pv8/noipy;14;4178
rhinstaller/anaconda;176;3495
rolandgeider/wger;11;4240
romanvm/service.addic7ed;24;3597
rotki/rotki;110;2369
rsmusllp/king-phisher;29;3891
sk1418/zhuaxia;8;3840
streamlit/streamlit;83;1832
tobi-wan-kenobi/bumblebee-status;40;2860
xesscorp/KiCost;11;3346
xirixiz/Home-Assistant-Sensor-Afvalwijzer;124;2345
y0ssar1an/CSS3;50;3699
4Catalyzer/flask-resty;82;3323
Diaoul/spkrepo;7;3561
EUDAT-B2SHARE/b2share;56;4229
JARR-aggregator/JARR;18;3922
JackStouffer/Flask-Foundation;5;4001
MongoEngine/flask-mongoengine;10;4489
NYPL-Simplified/circulation;74;3555
Netflix/security_monkey;18;3715
OctoPrint/OctoPrint;145;4259
Pegase745/sqlalchemy-datatables;12;4040
StartupsPoleEmploi/labonneboite;5;2562
alephdata/aleph;29;3654
all-of-us/raw-data-repository;461;2933
apache/airflow;88;3426
betterlife/betterlifepsi;9;3359
blockstack/blockstack-core;118;3628
csm-aut/csm;7;3481
dpgaspar/Flask-AppBuilder;40;3945
etalab/udata;99;3779
fedora-infra/anitya;32;3926
flask-admin/flask-admin;17;4546
geopython/GeoHealthCheck;9;3642
getredash/redash;98;3958
getslash/backslash;22;3655
jfinkels/flask-restless;25;4565
levlaz/braindump;10;3202
lyft/confidant;10;3275
nsacyber/WALKOFF;40;3004
osmlab/maproulette;5;4199
raymondEhlers/OVERWATCH;8;3135
realpython/cookiecutter-flask-skeleton;12;3508
sagemath/sagenb;10;4635
seiferta/eMonitor;6;3828
sepro/MemoBoard;15;3107
spiral-project/ihatemoney;13;4921
tetherless-world/whyis;5;3119
voxpupuli/puppetboard;61;4049
Clarifai/clarifai-python;34;3744
Cornices/cornice;36;4705
GeotrekCE/Geotrek-admin;351;4133
GoogleCloudPlatform/forseti-security;63;2751
MDAnalysis/mdanalysis;30;3435
Mergifyio/mergify-engine;9;2325
OpenMined/PySyft;152;2598
PyMySQL/PyMySQL;7;4782
RPing/influx-prompt;8;2329
Scitator/catalyst;41;2201
ansible/galaxy;7;3629
blaze/distributed;8;3273
cfpb/cfgov-refresh;1586;3788
cfpb/wagtail-sharing;27;2788
circus-tent/circus;7;4586
clearlinux/autospec;13;3219
corteva/geocube;30;1974
delfick/photons;76;1518
dj-stripe/dj-stripe;70;4042
elifesciences/sciencebeam;11;2626
elyra-ai/elyra;18;1772
facebookresearch/detectron2;10;1819
gunthercox/ChatterBot;86;3623
healthchecks/healthchecks;59;3353
httpie/httpie;46;4569
idan/oauthlib;48;4666
infobyte/faraday;85;3949
jazzband/pip-tools;69;4371
lbryio/lbry;282;3297
matrix-org/sydent;24;3671
menpo/menpo;34;4141
missionpinball/mpf;34;3716
mlflow/mlflow;99;2277
mopidy/mopidy;17;5363
mopidy/mopidy-gmusic;13;4074
mopidy/mopidy-mpris;14;3978
mopidy/mopidy-spotify;27;3977
moremoban/moban;61;3137
mozilla/addons-server;5;3863
mozilla/kitsune;16;5329
mozilla/pontoon;29;4940
mozmeao/snippets-service;95;4136
mytardis/mytardis;20;4664
nipy/nibabel;40;5152
openwisp/openwisp-monitoring;6;1623
optuna/optuna;65;2381
pfnet/pfio;37;1955
pfnet/pfrl;5;1527
pimoroni/mopidy-raspberry-gpio;5;1785
praw-dev/asyncpraw;12;2032
pypa/bandersnatch;31;2299
pypa/readme_renderer;29;3836
pyproj4/pyproj;52;3530
realsuayip/django-sozluk;19;1766
rectalogic/mopidy-pandora;13;3536
rigetti/grove;8;2807
salesforce/django-declarative-apis;18;1875
sphinx-doc/sphinx;57;3527
tensorflow/hub;20;2362
tfeldmann/organize;49;2535
torchbox/wagtail;244;3860
unknown-horizons/unknown-horizons;25;5120
zalando-stups/zign;9;3396
zalando/connexion;138;3390
LyfeOnEdge/HBUpdater;21;1963
cclib/cclib;26;3895
jsalt18-sentence-repl/jiant;19;2264
pantsbuild/pants;518;4273
spotdl/spotify-downloader;85;2976
scrapinghub/scrapy-autounit;14;2058
sosy-lab/benchexec;60;3485
1Prototype1/HexBot;6;1465
Nathan-LS/Insight;11;2394
ParadoxAlarmInterface/pai;35;2337
Roxxers/roxbot;12;2655
danieldotnl/hass-multiscrape;11;1483
laramies/theHarvester;26;4988
lgrahl/threema-msgapi-sdk-python;17;3446
qtumproject/qtum-electrum;46;2551
randovania/randovania;124;2548
y-young/nazurin;24;1657
abrt/faf;6;4227
fedora-infra/python-fedora;6;4239
jhermann/rituals;5;3481
novafloss/django-generic-filters;22;4014
onepercentclub/bluebottle;369;3989
santoshphilip/eppy;33;4352
AppScale/appscale-tools;23;4514
Borda/BIRL;6;2862
DLR-RM/BlenderProc;6;1785
DMS-Aus/Roam;15;3928
StackStorm/st2;70;3781
awslabs/sockeye;76;2639
choderalab/Protons;7;3949
dataversioncontrol/dvc;544;2735
epinna/weevely3;12;3631
hammerlab/mhcflurry;28;3349
hibtc/cpymad;16;3561
metabrainz/picard;77;4761
patacrep/patacrep;6;4163
poldracklab/niworkflows;171;2961
ros-infrastructure/bloom;6;4480
torchbox/django-pattern-library;8;1653
borisbabic/browser_cookie3;6;3413
ihaveamac/3dsconv;17;3058
mkb79/Audible;35;1899
255BITS/HyperGAN;7;2987
DiamondLightSource/Savu;23;3578
psychopy/psychopy;110;5111
python-microscopy/python-microscopy;39;1736
AppScale/appscale;29;4542
Baekalfen/PyBoy;32;3380
Breakthrough/PySceneDetect;33;3739
City-of-Helsinki/respa;19;3380
Clinical-Genomics/BALSAMIC;33;2366
Cog-Creators/Red-DiscordBot;83;3162
Dan6erbond/aPRAW;18;1831
DataDog/dd-trace-py;521;2992
ESMValGroup/ESMValCore;50;1913
FAForever/server;71;3593
GeorgeCiesinski/text-script;6;1701
GeoscienceAustralia/PyRate;7;3384
GoogleCloudPlatform/terraform-python-testing-helper;36;1988
HTTP-APIs/hydrus;15;2816
IBM/lale;84;1850
JNRowe/pyisbn;10;5607
KanoComputing/kano-toolset;51;3830
KeepSafe/aiohttp;150;3984
KimiNewt/pyshark;16;3897
LLNL/spack;44;3886
Materials-Consortia/optimade-python-tools;86;2276
Mouse-Imaging-Centre/pyminc;14;4548
MozillaSecurity/laniakea;8;3564
MozillaSecurity/lithium;11;3340
NSLS-II/ophyd;13;3585
OGGM/oggm;22;3247
OP2/PyOP2;116;4460
PennyLaneAI/pennylane;58;2326
ProjectQ-Framework/ProjectQ;24;2801
QCoDeS/Qcodes;83;3369
RunestoneInteractive/RunestoneServer;25;4598
SamR1/FitTrackee;81;2706
SparkTC/enterprise_gateway;38;2687
StellarCN/py-stellar-base;148;3261
Telefonica/toolium;63;3235
TileDB-Inc/TileDB-Py;140;2658
Toblerity/Fiona;23;4625
Toblerity/rtree;13;4820
Trusted-AI/adversarial-robustness-toolbox;58;2359
Ultimaker/Uranium;7;3580
XKNX/xknx;121;3126
acsone/setuptools-odoo;21;3257
aio-libs/aiohttp-session;24;3514
aio-libs/aioredis;29;3749
akrherz/pyIEM;30;4254
albermax/innvestigate;6;2451
alphatwirl/alphatwirl;43;3482
amphibian-dev/toad;9;2190
ansible-community/ansible-lint;97;4033
ansible/ansible;99;4559
appium/python-client;9;3797
aws/sagemaker-xgboost-container;6;1927
awslabs/autogluon;33;1858
beer-garden/beer-garden;66;2399
biologyguy/BuddySuite;16;3514
biosustain/cameo;33;3809
bmoscon/cryptofeed;73;2448
braindecode/braindecode;5;1696
brechtm/rinohtype;15;3959
bsmurphy/PyKrige;11;3619
carpedm20/fbchat;47;3421
chainer/chainer-chemistry;8;2466
cobbler/cobbler;42;4678
cobrateam/splinter;14;5093
codeforpdx/recordexpungPDX;73;2148
creare-com/podpac;16;2361
cylc/cylc;100;4837
darcymason/pydicom;29;3955
databricks/koalas;47;2064
dateutil/dateutil;20;3571
davidh-ssec/polar2grid;9;4460
dbcli/mssql-cli;9;2512
dhimmel/obonet;6;3392
dnouri/skorch;16;2599
dropbox/dropbox-sdk-python;95;3365
dstrigl/htheatpump;10;2751
duniter/sakia;78;3864
edx/edx-lint;33;3500
equinor/gordo;218;2150
fchollet/keras;70;3442
fitodic/centerline;6;3562
flairNLP/flair;26;2271
flashcode/msgcheck;8;4256
frgfm/torch-cam;8;1620
gaphor/gaphas;55;5550
gaphor/gaphor;64;5544
gatheringhallstudios/MHWorldData;29;2373
geopy/geopy;37;5291
getnikola/nikola;80;4520
gijzelaerr/python-snap7;21;3977
glotzerlab/signac;14;2037
hachmannlab/ChemML;5;2457
hugovk/pypistats;29;2168
ishepard/pydriller;43;2353
jgayfer/pydest;5;2578
jhfjhfj1/autokeras;59;2474
joke2k/faker;280;4307
josuebrunel/yahoo-oauth;7;3377
k-bx/python-semver;19;4587
kbandla/dpkt;11;4467
kenfar/DataGristle;5;4918
larq/zoo;58;1946
lbl-anp/becquerel;17;2885
lingthio/Flask-User;6;3843
lockwooddev/python-wowapi;8;4106
mackelab/sbi;31;1661
matthewgilbert/pdblp;9;3357
microsoft/graspologic;16;2183
microsoft/playwright-python;89;1520
mindsdb/mindsdb;241;2219
mit-crpg/openmc;20;4788
ml31415/numpy-groupies;14;4108
nautechsystems/nautilus_trader;106;2257
nco/pynco;6;3881
nengo/nengo;21;4149
neo4j/neo4j-python-driver;105;3404
nicolewhite/cycli;6;3317
nipy/nipype;43;5152
ns1/ns1-python;7;2855
nvictus/priority-queue-dictionary;7;4503
oVirt/vdsm;22;4325
ocadotechnology/aimmo;587;3334
odlgroup/odl;15;3220
openstenoproject/plover;43;4460
opsdroid/opsdroid;50;2958
osbuild/osbuild;131;2053
pantsbuild/pex;275;3692
paulgavrikov/visualkeras;6;1434
photosynthesis-team/photosynthesis.metrics;17;1715
playpauseandstop/rororo;46;4329
plotly/dash;70;3429
probabilistic-numerics/probnum;29;1763
pydicom/pynetdicom;20;2892
pylast/pylast;34;4235
pymc-devs/aesara;51;665
pymedusa/SickRage;124;3110
python-pillow/Pillow;56;4418
pywbem/pywbem;58;3249
pyxem/pyxem;32;3150
quark-engine/quark-engine;61;1773
qutip/qutip;28;4342
radomirbosak/duden;17;3234
reportportal/agent-Python-RobotFramework;23;2906
robotframework/SeleniumLibrary;57;4695
roskakori/pygount;7;4156
s3ql/s3ql;31;3335
salu133445/pypianoroll;15;2420
scikit-hep/boost-histogram;30;2175
scikit-image/scikit-image;32;4801
scrapinghub/shub;37;3727
se2p/pynguin;55;1494
sentinel-hub/sentinel2-cloud-detector;12;2411
sjkingo/python-freshdesk;19;3529
smaniotto/django-nomad;6;2628
smarie/python-autoclass;12;2798
snipsco/snips-nlu-metrics;15;2604
sobolevn/django-split-settings;9;4122
sopel-irc/sopel;72;4634
soxofaan/duviz;5;4596
stellargraph/stellargraph;25;2330
sunpy/sunpy;139;4772
supermihi/pytaglib;12;4751
theislab/sfaira;16;1452
tomerfiliba/plumbum;10;4507
uber/h3-py;23;2269
uber/petastorm;48;2266
usnistgov/pyMCR;8;2451
vatlab/SOS;51;3120
wavespectra/wavespectra;14;1825
weecology/retriever;12;4811
wikimedia/cumin;16;2794
willcl-ark/lnd_grpc;12;2043
williballenthin/python-registry;5;4856
wookayin/gpustat;11;3049
xigt/xigt;5;4155
ymyzk/python-gyazo;28;3689
zapatacomputing/z-quantum-core;15;1598
CenterForOpenScience/osf.io;21;4118
DIRACGrid/DIRAC;211;4894
DataDog/datadogpy;62;3501
DataDog/dd-agent;103;4990
Mozilla-TWQA/Hasal;11;3076
MrSprigster/Twitch-on-Kodi;56;4463
OnToology/OnToology;7;3459
OpenCanada/website;15;3380
allankp/pytest-testrail;14;3141
beebeeep/cacus;11;3265
bryantbhowell/tableau_tools;42;2976
certbot/certbot;52;3578
ckan/datapusher;7;4308
foospidy/HoneyPy;18;3938
getsentry/sentry;135;5112
h3llrais3r/Auto-Subliminal;23;3906
hfaran/piazza-api;19;3913
hypothesis/h;85;4532
ikreymer/pywb;41;3916
internetarchive/openlibrary;107;5782
john-kurkowski/tldextract;7;4933
log2timeline/plaso;48;3642
mgckind/easyaccess;20;3491
mixja/cfn-lambda-handler;7;2884
mozilla/mozregression;108;5313
opentargets/data_pipeline;16;3146
openvstorage/framework;70;3326
parklab/refinery-platform;36;4662
proycon/clam;88;5168
pysat/pysat;38;3434
scrapinghub/python-scrapinghub;9;4762
sethblack/python-seo-analyzer;11;4261
six-pack/Axis-Mundi;7;3407
sonata-nfv/son-emu;9;3144
splunk/splunk-ansible;63;2177
vmware/pyvmomi;28;3912
ENCODE-DCC/encoded;84;4283
FCP-INDI/C-PAC;38;4452
GeoNode/geonode;42;5201
GoogleCloudPlatform/PerfKitBenchmarker;17;3696
Koed00/django-q;78;3364
Nextdoor/kingpin;24;3669
PUNCH-Cyber/stoq-plugins-public;13;3206
RaRe-Technologies/smart_open;51;3527
ansible-collections/amazon.aws;62;1660
artsy/hokusai;37;2830
aws/aws-parallelcluster;89;3761
biothings/biothings.api;9;3151
buildbot/buildbot;74;5168
celery/kombu;32;5181
cloudtools/stacker;38;3522
conda/conda;167;4335
django-ses/django-ses;50;4965
edx/edx-ora2;309;3901
etianen/django-s3-storage;9;3514
jantman/awslimitchecker;33;3372
mapproxy/mapproxy;5;4511
mapzen/tilequeue;38;3618
mgrp/django-distill;16;3417
mozilla-services/autopush;90;3464
mozilla-services/socorro;192;4754
nchammas/flintrock;14;3374
ngageoint/scale;39;3207
novemberfiveco/s3pypi;32;3074
open-craft/opencraft;15;3308
openstax/openstax-cms;227;3228
sbrunner/tilecloud-chain;75;4360
scrapinghub/spidermon;10;3208
spotify/luigi;59;4361
spulec/moto;30;4209
tendenci/tendenci;116;5228
wamdam/backy2;22;3264
xethorn/garcon;31;3538
zalando-stups/berry;5;3437
zalando-stups/senza;127;3440
zulip/zulip;104;3261
Murodese/pynab;9;3986
cloudera/ibis;22;3421
psf/black;44;2360
robshakir/pyangbind;10;3415
scrapinghub/dateparser;29;3566
securisec/chepy;52;1768
vertexproject/synapse;315;3367
xxyzz/WordDumb;115;1407
ARTFL-Project/PhiloLogic4;62;4209
kovidgoyal/calibre;303;4111
SeldonIO/alibi;33;2011
SimonBlanke/hyperactive;31;2128
Tobias-Fischer/rt_gene;10;2157
beringresearch/ivis;36;2208
christianversloot/extra_keras_datasets;31;1694
evilsocket/ergo;17;2108
google/qkeras;6;1849
keras-team/keras-tuner;32;1910
maxpumperla/elephas;10;3304
PMEAL/OpenPNM;39;4052
ejeschke/ginga;25;4450
igmhub/picca;21;2822
jobovy/galpy;20;4734
matplotlib/matplotlib;87;4940
nkarasiak/dzetsaka;33;3026
numbbo/coco;41;3309
ratschlab/spladder;24;3691
scikit-learn/scikit-learn;42;5126
scipy/scipy;93;4922
Bookworm-project/BookwormDB;9;4690
FORTH-ICS-INSPIRE/artemis;12;2103
abe-winter/pg13-py;9;3515
checktheroads/hyperglass;27;1940
linzhiming0826/sanic-restful;7;1816
long2ice/mysql2ch;24;1657
materials-data-facility/forge;29;2794
zulip/zulip-terminal;7;2378
ARMmbed/mbed-cli;43;3071
CellProfiler/CellProfiler-Analyst;6;4676
CubicERP/cubicerp;5;2789
Flexget/Flexget;282;4909
PokemonGoF/PokemonGo-Bot;7;2962
akvo/akvo-rsr;117;5386
camptocamp/c2cgeoportal;66;4649
debomatic/debomatic;21;3695
gwastro/pycbc;157;3467
maloep/romcollectionbrowser;8;3416
phrawzty/AudioAddict.bundle;9;3776
sabnzbd/sabnzbd;223;4767
stamparm/maltrail;61;3555
yomguy/DeeFuzzer;9;4693
AllenInstitute/ipfx;6;2454
ManageIQ/wrapanapi;69;3285
Yelp/Tron;17;5102
aiidateam/aiida-core;35;2806
beetbox/beets;34;5133
datadotworld/data.world-py;24;2778
datalad/datalad;109;3954
emc-openstack/vnx-direct-driver;26;3907
frappe/erpnext;1402;4831
frappe/frappe;1280;4831
jaraco/wolframalpha;11;3200
lxc/pylxd;12;3383
mesosphere/marathon-lb;52;3249
openatv/enigma2;10;4445
pndurette/gTTS;22;3759
rackspace/pyrax;22;4354
sanger-pathogens/gff3toembl;5;3620
scrapy/w3lib;11;4883
wkentaro/gdown;20;3239
yougov/pmxbot;17;3193
ARMmbed/yotta;89;3857
CloudVE/cloudbridge;15;3272
CoreSecurity/pysap;17;3809
LibertyAces/BitSwanPump;6;2080
SFDO-Tooling/CumulusCI;233;3891
Tribler/tribler;141;4203
ansible/awx;64;2661
bargate-project/bargate;29;3791
barneygale/quarry;11;3711
cowrie/cowrie;19;3397
home-assistant/hassio;435;2725
jpadilla/pyjwt;37;4934
log2timeline/dfvfs;18;3642
offu/WeRoBot;28;4229
ojarva/python-sshpubkeys;7;3542
paterva/maltego-trx;10;2277
phaethon/kamene;19;3500
privacyidea/privacyidea;43;3740
reviewboard/reviewboard;9;5485
secdev/scapy;13;3255
thinkst/opencanary;6;3312
twisted/twisted;32;4807
Abjad/abjad;29;3957
PyMySQL/mysqlclient;13;3776
Thermondo/pytest-translations;5;3529
aibasel/pyperplan;6;1659
diofant/diofant;8;3476
edgedb/edgedb;26;2617
pytest-dev/pytest;72;3362
tarbell-project/tarbell;6;4259
translate/translate;74;4545
IdentityPython/pysaml2;51;4480
NervanaSystems/neon;32;3605
ceholden/yatsm;13;3738
copier-org/copier;42;4685
csirtgadgets/bearded-avenger;42;3632
inducer/pycuda;8;4894
ionrock/cachecontrol;6;4090
jasonlaska/skggm;6;3001
Chavithra/degiro-connector;11;1486
Rhinik/vkquick;26;1573
eversum/galacteek;58;2112
hsahovic/poke-env;50;1850
sumeshi/evtx2es;6;1790
terraform-compliance/cli;179;2706
panoptes/POCS;9;3983
BjornFJohansson/pydna;16;3494
ClusterLabs/crmsh;18;3816
DIYBookScanner/spreads;8;4091
Galvant/InstrumentKit;15;4138
HERA-Team/pyuvdata;39;3236
MasterOdin/pylint_runner;9;3451
ReproNim/niceman;8;3045
SALib/SALib;33;4109
StingraySoftware/stingray;11;3256
Thor77/TeamspeakStats;14;3335
ajdawson/eofs;6;4185
ajdawson/windspharm;6;4454
alkaline-ml/pmdarima;44;2709
amzn/ion-python;17;3065
apple/coremltools;39;2617
bashtage/arch;47;3653
bbangert/beaker;9;4701
biocore/scikit-bio;24;3912
bodbdigr/restea;6;3452
bodono/scs-python;5;2501
cdent/paste;6;2137
chainer/chainermn;7;2767
cihologramas/pyoptools;7;3432
dib-lab/khmer;14;4489
diyan/pywinrm;10;4437
django-oscar/django-oscar;8;5012
edickie/ciftify;22;2919
frictionlessdata/datapackage-py;76;3237
gcovr/gcovr;12;4124
geopandas/geopandas;36;4081
histrio/py-couchdb;5;4243
ianlini/flatten-dict;10;2814
iotile/coretools;105;2836
juhasch/PhysicalQuantities;15;3786
jupyter-server/jupyter_server;123;2899
jupyter/nbconvert;52;3430
kotfu/tomcat-manager;14;4256
landlab/landlab;9;3765
linkcheck/linkchecker;9;2767
lmfit/lmfit-py;37;4777
luispedro/mahotas;6;5324
markokr/rarfile;5;4692
mwaskom/seaborn;37;4455
nccgroup/ScoutSuite;35;2130
networkx/networkx;56;5106
nilearn/nilearn;11;4981
oemof/oemof-solph;37;3201
pierrepo/PBxplore;5;4094
plotly/plotly.py;85;3934
pvlib/pvlib-python;43;3481
pydata/pandas-gbq;40;2759
pymssql/pymssql;17;4007
python-visualization/folium;28;4130
qtile/qtile;21;5843
rasbt/mlxtend;29;3668
sckott/pygbif;11;3529
statsmodels/statsmodels;27;4827
tqdm/tqdm;128;3375
uber/vertica-python;69;4040
witten/atticmatic;123;3571
AdCombo/flask-combo-jsonapi;8;1676
MediaBrowser/MediaBrowser.Kodi;66;3962
getsentry/raven-python;10;4711
gmr/consulate;5;3773
jrnl-org/jrnl;47;4536
karlproject/karl;22;4770
matrix-org/synapse;527;3671
mirnylab/cooler;44;3151
mozilla/amo-validator;12;4926
pyecharts/pyecharts;5;2625
whamcloud/integrated-manager-for-lustre;35;2684
CAMBI-tech/BciPy;9;2284
JonathanVusich/pcpartpicker;15;2127
Netflix/consoleme;27;1751
delira-dev/delira;8;2088
jgrss/geowombat;57;2001
josiah-wolf-oberholtzer/supriya;38;3829
libAtoms/matscipy;22;3691
open-mmlab/mmcv;62;2199
plangrid/flask-rebar;9;2376
ploigos/ploigos-step-runner;16;1570
sodafoundation/delfin;33;1603
vsergeev/u-msgpack-python;13;3987
zach401/acnportal;7;2289
AlexandreDecan/sismic;20;3195
Anaconda-Platform/anaconda-client;52;4172
BerkeleyAutomation/autolab_core;6;2873
EducationalTestingService/skll;71;4045
FOSSEE/online_test;26;4678
FederatedAI/FATE;51;2044
Felienne/hedy;12;1725
HPInc/ml-git;8;1492
NLeSC/scriptcwl;13;2878
NVIDIA/NeMo;49;1850
Parsely/streamparse;46;3771
Prototype-X/Zabbix-Network-Weathermap;6;3064
Quansight/qhub;108;1608
RasaHQ/rasa;253;2876
SubstraFoundation/distributed-learning-contributivity;5;1826
afourmy/e-napalm;60;2517
andreoliwa/nitpick;53;2351
center-for-threat-informed-defense/adversary_emulation_library;5;1583
coala/coala-bears;14;3119
common-workflow-language/python-cwlgen;8;2775
conda-incubator/grayskull;71;1696
cookiecutter/cookiecutter;29;4064
demisto/demisto-sdk;210;1761
exosite/exoline;6;4089
getpopper/popper;20;3253
gschivley/PowerGenome;18;1869
home-assistant-ecosystem/home-assistant-cli;19;2955
homebysix/pre-commit-macadmin;39;2009
jwplayer/buildpipe-buildkite-plugin;12;2399
lykius/hesiod;9;1377
materialsproject/custodian;30;4224
materialsproject/pymatgen;287;4694
pr-omethe-us/PyKED;12;2933
pre-commit/pre-commit-hooks;34;3822
rabobank-cdc/DeTTACT;24;1980
saturncloud/prefect-saturn;14;1518
solus-project/ypkg;15;3476
tjhowse/modbus4mqtt;14;1521
xoxys/ansible-doctor;78;1787
Akuli/porcupine;39;2756
BlueBrain/NeuroM;64;3408
C0D3D3V/Moodle-Downloader-2;68;1715
CLIMADA-project/climada_python;36;2463
ComplianceAsCode/auditree-framework;50;1583
Donders-Institute/bidscoin;40;2324
H-uru/korman;21;4448
HyperLink-Technology/brownie;129;2127
JohnDoenut/biopeaks;12;2010
JonnyHaystack/i3-resurrect;15;1901
Kanjirito/simple-manga-downloader;32;1893
Kozea/tinycss2;15;4139
Kuifje02/vrpy;6;1613
LCA-ActivityBrowser/activity-browser;37;2689
MouseLand/suite2p;14;2236
PyCQA/pylint;93;3186
RuedigerVoigt/exoskeleton;27;1772
StochSS/GillesPy2;39;2536
The-Compiler/qutebrowser;90;3717
aaugustin/websockets;40;4170
alphatwirl/atpbar;29;2020
ashnair1/COCO-Assistant;7;1918
bonjorno7/SourceOps;29;2064
bpython/bpython;18;3708
brainix/pottery;51;3368
earthobservations/wetterdienst;129;2091
encode/uvicorn;54;2647
equinor/ecl2df;40;1935
ethereum/viper;48;2848
